                                                                               
{'loss': '0.04661', 'grad_norm': '0.01613', 'learning_rate': '1.9e-05', 'epoch': '0.2851'}
{'loss': '0.04239', 'grad_norm': '0.04739', 'learning_rate': '1.915e-05', 'epoch': '0.2873'}
{'loss': '0.05997', 'grad_norm': '2.857', 'learning_rate': '1.93e-05', 'epoch': '0.2895'}
{'loss': '0.03982', 'grad_norm': '0.06168', 'learning_rate': '1.944e-05', 'epoch': '0.2917'}
{'loss': '0.06401', 'grad_norm': '5.129', 'learning_rate': '1.959e-05', 'epoch': '0.2939'}
{'loss': '0.06027', 'grad_norm': '0.1064', 'learning_rate': '1.973e-05', 'epoch': '0.2961'}
{'loss': '0.0194', 'grad_norm': '14.47', 'learning_rate': '1.988e-05', 'epoch': '0.2983'}
{'loss': '0.06369', 'grad_norm': '3.718', 'learning_rate': '2e-05', 'epoch': '0.3005'}
{'loss': '0.06038', 'grad_norm': '0.0493', 'learning_rate': '1.998e-05', 'epoch': '0.3027'}
{'loss': '0.03839', 'grad_norm': '0.02955', 'learning_rate': '1.996e-05', 'epoch': '0.3049'}
{'loss': '0.05185', 'grad_norm': '3.052', 'learning_rate': '1.995e-05', 'epoch': '0.3071'}
{'loss': '0.0572', 'grad_norm': '0.3334', 'learning_rate': '1.993e-05', 'epoch': '0.3093'}
{'loss': '0.07161', 'grad_norm': '6.439', 'learning_rate': '1.992e-05', 'epoch': '0.3114'}
{'loss': '0.09474', 'grad_norm': '0.04013', 'learning_rate': '1.99e-05', 'epoch': '0.3136'}
{'loss': '0.03786', 'grad_norm': '28.05', 'learning_rate': '1.988e-05', 'epoch': '0.3158'}
{'loss': '0.06131', 'grad_norm': '0.4132', 'learning_rate': '1.987e-05', 'epoch': '0.318'}
{'loss': '0.03921', 'grad_norm': '0.04665', 'learning_rate': '1.985e-05', 'epoch': '0.3202'}
{'loss': '0.05133', 'grad_norm': '3.015', 'learning_rate': '1.983e-05', 'epoch': '0.3224'}
{'loss': '0.05619', 'grad_norm': '0.3695', 'learning_rate': '1.982e-05', 'epoch': '0.3246'}
{'loss': '0.07193', 'grad_norm': '0.1349', 'learning_rate': '1.98e-05', 'epoch': '0.3268'}
